N,nominal_load,actual_load,P,generator,corr,condition,cue_noise,cost_int_mean,cost_int_sem,n_trials,cost_cum_mean,cost_cum_sem,initial_overlap_mean,initial_overlap_sem,final_overlap_mean,final_overlap_sem,retrieval_error_mean,retrieval_error_sem,success_mean,success_sem,iterations_mean,iterations_sem,pearson_cost_error,spearman_cost_error,pearson_cost_failure,spearman_cost_failure
128,0.05,0.046875,6,latent,0.45,correlated,0.1,1.0029329874288724,8.965304954154958e-05,600,1.014534663425398,0.00044077616482207595,0.8025,0.0021337374381410834,0.7476041666666666,0.008273471388583236,0.2523958333333333,0.008273471388583238,0.35333333333333333,0.019530759477238573,3.8316666666666666,0.06857315030719557,0.36900600232588415,0.42756155672072027,0.590834402865617,0.6897839667402639
128,0.05,0.046875,6,latent,0.45,correlated,0.15,1.0030586119223157,9.497461113054588e-05,600,1.015149827225034,0.0004671843554987262,0.7018489583333334,0.0025546114083394634,0.746640625,0.00816051792671239,0.253359375,0.008160517926712388,0.33666666666666667,0.019308678847479326,3.845,0.06882803407698505,0.3388762015642764,0.3786372886305553,0.590267352248321,0.6673350219346189
128,0.05,0.046875,6,latent,0.45,correlated,0.2,1.0029929058209799,9.600337191842274e-05,600,1.0148241163135432,0.0004720262215115261,0.5991666666666666,0.00286198075100037,0.7272135416666666,0.008381841956740911,0.2727864583333333,0.008381841956740911,0.305,0.01881173753578313,3.985,0.07660116119546855,0.27163575961406233,0.3247847772129784,0.5534589147525363,0.6439488451009004
128,0.05,0.046875,6,latent,0.45,uncorrelated,0.05,1.0001260786242723,7.942799016466558e-06,600,1.0006298586288858,3.96287210384703e-05,0.8965885416666667,0.0015658870351115837,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.45,uncorrelated,0.1,1.0001385038811539,9.106219850698941e-06,600,1.0006918342237234,4.542511543184145e-05,0.797265625,0.002316363630313043,1.0,0.0,0.0,0.0,1.0,0.0,2.005,0.0028819280320594325,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.45,uncorrelated,0.15,1.0001374230649878,8.619531184636067e-06,600,1.0006864843433527,4.300183219541052e-05,0.6974479166666666,0.002527046551510244,1.0,0.0,0.0,0.0,1.0,0.0,2.015,0.004966498785224799,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.45,uncorrelated,0.2,1.0001378005826973,8.66658285731801e-06,600,1.0006883659849999,4.323920484354106e-05,0.603359375,0.002885403255231313,0.99984375,0.00015625000000000006,0.00015625,0.00015625000000000006,1.0,0.0,2.0816666666666666,0.013027765961901461,0.0004771399082375611,0.03573961337244574,nan,nan
128,0.05,0.046875,6,mixture,0.15,correlated,0.05,1.0001155261402903,7.094381829347485e-06,600,1.0005771979088358,3.5382440970662384e-05,0.8972135416666667,0.00154991066224218,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,nan,nan,nan,nan
128,0.05,0.046875,6,mixture,0.15,correlated,0.1,1.0001103174231325,7.365428522631669e-06,600,1.000551143106988,3.671815809914852e-05,0.7992447916666666,0.002100845195106828,1.0,0.0,0.0,0.0,1.0,0.0,2.006666666666667,0.0033249756101939067,nan,nan,nan,nan
128,0.05,0.046875,6,mixture,0.15,correlated,0.15,1.0001173827453138,7.490287424454492e-06,600,1.0005864425893898,3.7342561862824064e-05,0.6996614583333334,0.0025615847269952418,1.0,0.0,0.0,0.0,1.0,0.0,2.015,0.005498267041197261,nan,nan,nan,nan
128,0.05,0.046875,6,mixture,0.15,correlated,0.2,1.0001172985459232,8.047270502903298e-06,600,1.0005859705856328,4.010988826004173e-05,0.599140625,0.002973008091520164,0.9994791666666667,0.0005208333333333334,0.0005208333333333333,0.0005208333333333333,0.9983333333333333,0.0016666666666666668,2.09,0.013462782846836668,-0.016325598189931494,-0.024888369456276854,-0.01632559818993149,-0.024888369456276854
128,0.05,0.046875,6,mixture,0.15,uncorrelated,0.05,1.0001404662653044,8.51603963114709e-06,600,1.000701702235004,4.249436861560066e-05,0.900703125,0.001551020583515468,1.0,0.0,0.0,0.0,1.0,0.0,1.9966666666666666,0.0023550543175125337,nan,nan,nan,nan
128,0.05,0.046875,6,mixture,0.15,uncorrelated,0.1,1.0001187987648767,7.3006205492930335e-06,600,1.0005935352311588,3.643318483694811e-05,0.7990885416666667,0.002181392259871494,1.0,0.0,0.0,0.0,1.0,0.0,2.0016666666666665,0.0016666666666666668,nan,nan,nan,nan
128,0.05,0.046875,6,mixture,0.15,uncorrelated,0.15,1.0001401008022,9.27585483496244e-06,600,1.000699795684743,4.627662215188657e-05,0.69640625,0.0025548855040805193,1.0,0.0,0.0,0.0,1.0,0.0,2.015,0.004966498785224799,nan,nan,nan,nan
128,0.05,0.046875,6,mixture,0.15,uncorrelated,0.2,1.000140607997783,9.469260191388638e-06,600,1.0007023086538418,4.7241751688402485e-05,0.597578125,0.003005436656300566,0.9997395833333333,0.0002604166666666667,0.00026041666666666666,0.0002604166666666667,0.9983333333333333,0.001666666666666667,2.125,0.04022837560320809,0.21423110093843428,0.06841364144765363,0.21423110093843437,0.06841364144765363
128,0.05,0.046875,6,mixture,0.25,correlated,0.05,1.0001564356049626,9.668854975581479e-06,600,1.000781376775841,4.824640439708921e-05,0.8983333333333333,0.0015715975182198265,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,nan,nan,nan,nan
128,0.05,0.046875,6,mixture,0.25,correlated,0.1,1.0001727311891673,1.0455144433187616e-05,600,1.0008627068973646,5.2171504395298416e-05,0.801875,0.0021078439550174,1.0,0.0,0.0,0.0,1.0,0.0,2.015,0.005498267041197262,nan,nan,nan,nan
128,0.05,0.046875,6,mixture,0.25,correlated,0.15,1.0001675227430893,1.0375859318606745e-05,600,1.000836692315237,5.177166404186834e-05,0.7016927083333333,0.00264488354559106,0.99890625,0.0005572083261265805,0.00109375,0.0005572083261265805,0.9966666666666667,0.0023550543175125337,2.0416666666666665,0.011551622941397726,0.1528135991075437,0.12528819327686608,0.15441006291683074,0.09132140573786482
128,0.05,0.046875,6,mixture,0.25,correlated,0.2,1.0001480402372933,9.040052252964108e-06,600,1.0007394954039541,4.511254989901448e-05,0.5946614583333333,0.0028748950825737596,0.9965104166666666,0.0012916702428505255,0.0034895833333333333,0.0012916702428505255,0.9883333333333333,0.004387445200216267,2.1016666666666666,0.014807081933483747,0.050560991648544835,0.10736660173480216,0.04496549128886561,0.07818780836086599
128,0.05,0.046875,6,mixture,0.25,uncorrelated,0.05,1.0001274495416081,8.566420659458343e-06,600,1.0006366488892602,4.2722782522328716e-05,0.8990364583333333,0.0015920272648560262,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,nan,nan,nan,nan
128,0.05,0.046875,6,mixture,0.25,uncorrelated,0.1,1.0001151561857318,7.863532665341018e-06,600,1.0005752806877999,3.921250790471513e-05,0.8001302083333334,0.00221108523149677,1.0,0.0,0.0,0.0,1.0,0.0,2.0033333333333334,0.0023550543175125337,nan,nan,nan,nan
128,0.05,0.046875,6,mixture,0.25,uncorrelated,0.15,1.000121872112676,8.23965417922993e-06,600,1.0006088083004023,4.109272686662656e-05,0.6979947916666667,0.002533962358715974,0.999609375,0.00039062500000000013,0.000390625,0.000390625,0.9983333333333333,0.0016666666666666668,2.0283333333333333,0.007178139798473247,-0.008944266460455638,0.016159588302366277,-0.008944266460455642,0.016159588302366277
