N,nominal_load,actual_load,P,generator,corr,condition,rep,mean_pair_overlap_abs,mean_q2,mean_cost_int,mean_cost_cum
128,0.05,0.046875,6,latent,0.35,uncorrelated,1,0.058333333333333334,4.562821625643251e-05,1.000045627070672,1.0002281124478
128,0.05,0.046875,6,latent,0.35,correlated,2,0.18333333333333332,0.0017417191084382168,1.001739417552413,1.0086517786830964
128,0.05,0.046875,6,latent,0.35,uncorrelated,2,0.051041666666666666,3.050357663215326e-05,1.000030503081516,1.000152505506951
128,0.05,0.046875,6,latent,0.35,correlated,3,0.16354166666666667,0.00141465634493769,1.0014131035254403,1.0070348531296862
128,0.05,0.046875,6,latent,0.35,uncorrelated,3,0.07916666666666666,0.00010452833405666812,1.0001045205013617,1.000522445990786
128,0.05,0.046875,6,latent,0.35,correlated,4,0.14270833333333333,0.00039470586753673507,1.000394617887041,1.0019713342214658
128,0.05,0.046875,6,latent,0.35,uncorrelated,4,0.09791666666666667,8.302204104408209e-05,1.000083018169141,1.0004150134472427
128,0.05,0.046875,6,latent,0.35,correlated,5,0.11145833333333334,0.0003420057621365243,1.0003419245793415,1.0017080036312194
128,0.05,0.046875,6,latent,0.35,uncorrelated,5,0.06145833333333333,5.898488359476719e-05,1.0000589830065667,1.0002948775050355
128,0.05,0.046875,6,latent,0.35,correlated,6,0.128125,0.0015630207041664088,1.0015609264900005,1.0077633997579092
128,0.05,0.046875,6,latent,0.35,uncorrelated,6,0.0875,0.0011040865831731664,1.0011024500899206,1.0054800213978081
128,0.05,0.046875,6,latent,0.35,correlated,7,0.1875,0.0019033069316138633,1.0019011440652033,1.009463010921732
