N,nominal_load,actual_load,P,generator,corr,condition,rep,cue_noise,cue_id,target_index,cost_int,cost_cum,initial_overlap,final_overlap,retrieval_error,success,iterations
128,0.05,0.046875,6,latent,0.15,correlated,1,0.2,1,1,1.0001763094195193,1.0008812365212214,0.6875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.2,2,1,1.0001763094195193,1.0008812365212214,0.53125,1.0,0.0,1,3
128,0.05,0.046875,6,latent,0.15,correlated,1,0.2,3,4,1.0002859952223138,1.0014291593465174,0.609375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.2,4,2,1.000236165944586,1.0011802726370644,0.484375,1.0,0.0,1,3
128,0.05,0.046875,6,latent,0.15,correlated,1,0.2,5,3,1.00036516491713,1.0018244935608143,0.53125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.2,6,0,1.000097851267652,1.0004891606363715,0.640625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.2,7,5,1.0006649361196678,1.003320273839263,0.5625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.2,8,1,1.0001763094195193,1.0008812365212214,0.640625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.2,9,5,1.0006649361196678,1.003320273839263,0.625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.2,10,5,1.0006649361196678,1.003320273839263,0.5,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.2,11,3,1.00036516491713,1.0018244935608143,0.65625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.05,0,3,1.0000372236004005,1.000186104148616,0.875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.05,1,1,1.0000575664269393,1.0002877990052972,0.828125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.05,2,3,1.0000372236004005,1.000186104148616,0.921875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.05,3,1,1.0000575664269393,1.0002877990052972,0.96875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.05,4,2,1.00009440042059,1.0004719130305946,0.921875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.05,5,4,1.0001007935594264,1.000503866254885,0.921875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.05,6,4,1.0001007935594264,1.000503866254885,0.875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.05,7,0,1.0000319925209753,1.0001599523712998,0.953125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.05,8,0,1.0000319925209753,1.0001599523712998,0.9375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.05,9,1,1.0000575664269393,1.0002877990052972,0.90625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.05,10,2,1.00009440042059,1.0004719130305946,0.921875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.05,11,5,1.0000564039908562,1.0002819881491478,0.9375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.1,0,4,1.0001007935594264,1.000503866254885,0.890625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.1,1,1,1.0000575664269393,1.0002877990052972,0.796875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.1,2,1,1.0000575664269393,1.0002877990052972,0.71875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.1,3,0,1.0000319925209753,1.0001599523712998,0.78125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.1,4,0,1.0000319925209753,1.0001599523712998,0.875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.1,5,2,1.00009440042059,1.0004719130305946,0.78125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.1,6,5,1.0000564039908562,1.0002819881491478,0.828125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.1,7,4,1.0001007935594264,1.000503866254885,0.78125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.1,8,0,1.0000319925209753,1.0001599523712998,0.71875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.1,9,4,1.0001007935594264,1.000503866254885,0.859375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.1,10,2,1.00009440042059,1.0004719130305946,0.78125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.1,11,4,1.0001007935594264,1.000503866254885,0.84375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.15,0,0,1.0000319925209753,1.0001599523712998,0.65625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.15,1,3,1.0000372236004005,1.000186104148616,0.828125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.15,2,3,1.0000372236004005,1.000186104148616,0.609375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.15,3,0,1.0000319925209753,1.0001599523712998,0.65625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.15,4,5,1.0000564039908562,1.0002819881491478,0.6875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.15,5,3,1.0000372236004005,1.000186104148616,0.78125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.15,6,2,1.00009440042059,1.0004719130305946,0.75,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.15,7,5,1.0000564039908562,1.0002819881491478,0.671875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.15,8,0,1.0000319925209753,1.0001599523712998,0.734375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.15,9,1,1.0000575664269393,1.0002877990052972,0.5625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.15,10,1,1.0000575664269393,1.0002877990052972,0.71875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.15,11,5,1.0000564039908562,1.0002819881491478,0.75,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.2,0,0,1.0000319925209753,1.0001599523712998,0.609375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.2,1,5,1.0000564039908562,1.0002819881491478,0.546875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.2,2,0,1.0000319925209753,1.0001599523712998,0.484375,1.0,0.0,1,3
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.2,3,0,1.0000319925209753,1.0001599523712998,0.515625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.2,4,5,1.0000564039908562,1.0002819881491478,0.609375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.2,5,4,1.0001007935594264,1.000503866254885,0.6875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.2,6,4,1.0001007935594264,1.000503866254885,0.59375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.2,7,2,1.00009440042059,1.0004719130305946,0.453125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.2,8,0,1.0000319925209753,1.0001599523712998,0.6875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.2,9,4,1.0001007935594264,1.000503866254885,0.46875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.2,10,3,1.0000372236004005,1.000186104148616,0.515625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.2,11,5,1.0000564039908562,1.0002819881491478,0.5,1.0,0.0,1,3
128,0.05,0.046875,6,latent,0.15,correlated,2,0.05,0,0,1.0001681733046197,1.000840583938071,0.96875,1.0,0.0,1,2
